Permalink,Listing Categories,List Subcategories,Listing Tags
https://marketplace.bamboohr.com/listings/appsco/,Build Your Business,Identity Management,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Discover Apps>Free Trial Available|Industry Served>Government & Education|Industry Served>Healthcare|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Industry Served>Non-Profit & Social Services|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Discover Apps>SSO Included|Industry Served>Technology & Software|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/aquera-3/,Build Your Business,Identity Management,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Data Flow>One-way|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Discover Apps>SSO Included|Staff Picks|Industry Served>Technology & Software|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/assembly/,People & Culture,Engagement & Culture,Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/atspoke/,Build Your Business,Internal Ticketing (Help Desk),Industry Served>Construction|Industry Served>Consulting|Industry Served>Finance|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Staff Picks|Industry Served>Technology & Software|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/back/,Build Your Business,Communication,Build Your Business>Help Desk|Build Your Business>Internal Ticketing (Help Desk)|Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/backgrounds-online/,Hiring & Onboarding,Background Checks,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Discover Apps>Preferred Integrations|Data Flow>Two-way|Location Restrictions>United States Only
https://marketplace.bamboohr.com/listings/bamboohr-applicant-tracking/,Hiring & Onboarding,Applicant Tracking Systems,Listing Type>BambooHR Product|Industry Served>Construction|Industry Served>Consulting|Industry Served>Finance|Industry Served>Government & Education|Industry Served>Healthcare|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Industry Served>Other|Discover Apps>Preferred Integrations|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Industry Served>Technology & Software|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/bamboohr-performance-management/,People & Culture,Performance,Listing Type>BambooHR Product|Industry Served>Construction|Industry Served>Consulting|Industry Served>Finance|Industry Served>Government & Education|Industry Served>Healthcare|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Industry Served>Other|Discover Apps>Preferred Integrations|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Industry Served>Technology & Software|Data Flow>Two-way|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/bamboohr-time-tracking/,Compensation & Benefits,Time Tracking & Scheduling,Listing Type>BambooHR Product|Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Discover Apps>Free Trial Available|Industry Served>Government & Education|Industry Served>Healthcare|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Industry Served>Other|Discover Apps>Preferred Integrations|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Industry Served>Technology & Software|Data Flow>Two-way|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/benetrac/,Compensation & Benefits,Benefits Administration,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Location Restrictions>United States Only
https://marketplace.bamboohr.com/listings/blissfully/,Build Your Business,SaaS Operations Management,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Discover Apps>Preferred Integrations|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/blue-marble-global-payroll/,Compensation & Benefits,Global Payroll,Compensation & Benefits>Payroll|Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Discover Apps>SSO Included
https://marketplace.bamboohr.com/listings/bonusly/,People & Culture,Recognition & Rewards,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Discover Apps>Preferred Integrations|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/boomr/,Compensation & Benefits,Time Tracking & Scheduling,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/breezyhr/,Hiring & Onboarding,Applicant Tracking Systems,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Discover Apps>Preferred Integrations|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/carta/,,,
https://marketplace.bamboohr.com/listings/checkr/,Hiring & Onboarding,Background Checks,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Discover Apps>Preferred Integrations|Business Size>Small (26-200 EEs)|Data Flow>Two-way|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/clicktime/,Compensation & Benefits,Time Tracking & Scheduling,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/cloudpay/,Compensation & Benefits,Global Payroll,Compensation & Benefits>Payroll|Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way
https://marketplace.bamboohr.com/listings/comeet/,Hiring & Onboarding,Applicant Tracking Systems,Listing Type>Direct Integration|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/criteriacorp/,Hiring & Onboarding,Assessments,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Discover Apps>Free Trial Available|Industry Served>Government & Education|Industry Served>Healthcare|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Industry Served>Other|Discover Apps>Preferred Integrations|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Industry Served>Technology & Software|Data Flow>Two-way|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/culture-amp/,People & Culture,Engagement & Culture,People & Culture>Performance|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/cyberark_identity/,Build Your Business,Identity Management,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Industry Served>Non-Profit & Social Services|Data Flow>One-way|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Discover Apps>SSO Included|Industry Served>Technology & Software
https://marketplace.bamboohr.com/listings/deel/,Compensation & Benefits,Global Payroll,Compensation & Benefits>Payroll|Service Providers>PEO|Build Your Business>Risk Management and Compliance|Build Your Business>Safety & Compliance|Listing Type>Direct Integration|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)|Data Flow>Two-way|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/deputy/,Compensation & Benefits,Time Tracking & Scheduling,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/ease/,Compensation & Benefits,Benefits Administration,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/effortless-admin/,Compensation & Benefits,Benefits Administration,Location Restrictions>Canada Only|Listing Type>Direct Integration|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/employee_cycle/,Build Your Business,,Compensation & Benefits>Reporting & Analytics|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Listing Type>Non-Integrated|Data Flow>One-way|Listing Type>Professional Services|Business Size>Small (26-200 EEs)|Location Restrictions>United States Only
https://marketplace.bamboohr.com/listings/enboarder/,Hiring & Onboarding,Onboarding,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Industry Served>Technology & Software|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/engagedly/,People & Culture,Performance,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/envisionbx/,Build Your Business,ERP & Accounting,Compensation & Benefits>Payroll|
https://marketplace.bamboohr.com/listings/gifted/,People & Culture,Recognition & Rewards,Listing Type>Direct Integration|Discover Apps>Free|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/goalspan/,People & Culture,Performance,Listing Type>Direct Integration|Business Size>Medium (201-500 EEs)|Discover Apps>Preferred Integrations|Business Size>Small (26-200 EEs)|Discover Apps>SSO Included|Data Flow>Two-way|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/goodhire/,Hiring & Onboarding,Background Checks,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Industry Served>Other|Discover Apps>Preferred Integrations|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Staff Picks|Industry Served>Technology & Software|Data Flow>Two-way|Location Restrictions>United States Only|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/google-single-sign-on/,Build Your Business,Identity Management,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Discover Apps>Free|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Data Flow>One-way|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Discover Apps>SSO Included|Staff Picks|Industry Served>Technology & Software|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/greenhouse-onboarding/,Hiring & Onboarding,Onboarding,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Data Flow>One-way|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Industry Served>Technology & Software
https://marketplace.bamboohr.com/listings/greenhouse-software/,Hiring & Onboarding,Applicant Tracking Systems,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/helloteam-engagement/,People & Culture,Engagement & Culture,Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/helloteam/,People & Culture,Performance,Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/hireflix/,Hiring & Onboarding,Video Interviews,Discover Apps>Free Trial Available|Business Size>Small (26-200 EEs)|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/hireology/,Hiring & Onboarding,Applicant Tracking Systems,Listing Type>Direct Integration|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/hireright/,Hiring & Onboarding,Background Checks,Industry Served>Construction|Listing Type>Direct Integration|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/hive-hr/,People & Culture,Engagement & Culture,Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/hr-com/,HR Training & Courses,,Listing Type>Non-Integrated
https://marketplace.bamboohr.com/listings/human-interest/,Compensation & Benefits,Financial Benefits,Business Size>Medium (201-500 EEs)|Data Flow>One-way|Discover Apps>Preferred Integrations|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/humanity/,Compensation & Benefits,Time Tracking & Scheduling,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/humley-digital-hr-assistant/,Build Your Business,Communication,Build Your Business>Help Desk|Build Your Business>Internal Ticketing (Help Desk)|People & Culture|Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/imocha/,Hiring & Onboarding,Assessments,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/indeed/,Hiring & Onboarding,Job Boards & Sourcing,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Discover Apps>Free|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Industry Served>Other|Discover Apps>Preferred Integrations|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Staff Picks|Industry Served>Technology & Software|Data Flow>Two-way|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/jazz-hr/,Hiring & Onboarding,Applicant Tracking Systems,Listing Type>Direct Integration|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Discover Apps>Preferred Integrations|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/jobma/,Hiring & Onboarding,Video Interviews,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/jobscore/,Hiring & Onboarding,Applicant Tracking Systems,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)|Data Flow>Two-way|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/jobvite/,Hiring & Onboarding,Applicant Tracking Systems,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/jumpcloud/,Build Your Business,Identity Management,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Discover Apps>Free Trial Available|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Data Flow>One-way|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Discover Apps>SSO Included|Staff Picks|Industry Served>Technology & Software
https://marketplace.bamboohr.com/listings/kazoo-performance/,People & Culture,Performance,Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/kazoo/,People & Culture,Recognition & Rewards,Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/kudos/,People & Culture,Recognition & Rewards,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/lattice-engagement/,People & Culture,Engagement & Culture,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/lattice/,People & Culture,Performance,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/leapsome-engagement/,People & Culture,Engagement & Culture,Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/leapsome/,People & Culture,Performance,Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/lever/,Hiring & Onboarding,Applicant Tracking Systems,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Discover Apps>Preferred Integrations|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/linkedin-talent-hub/,Hiring & Onboarding,Applicant Tracking Systems,Location Restrictions>Canada Only|Listing Type>Direct Integration|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Location Restrictions>United States Only|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/litmos/,People & Culture,Learning & Training,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/lucidchart/,Build Your Business,Planning & Charting,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Discover Apps>Free Trial Available|Industry Served>Government & Education|Industry Served>Healthcare|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Data Flow>One-way|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Staff Picks|Industry Served>Technology & Software|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/makeshift/,Compensation & Benefits,Time Tracking & Scheduling,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/maxwell-health/,Compensation & Benefits,Benefits Administration,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)|Location Restrictions>United States Only
https://marketplace.bamboohr.com/listings/merge/,Hiring & Onboarding,Applicant Tracking Systems,Build Your Business>Integration Platforms|Listing Type>3rd Party Connector|Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)|Data Flow>Two-way|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/netsuite/,Build Your Business,ERP & Accounting,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Data Flow>One-way|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Industry Served>Technology & Software
https://marketplace.bamboohr.com/listings/nextgen-workforce/,Compensation & Benefits,Time Tracking & Scheduling,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)|Data Flow>Two-way|Business Size>Very Small (1-25 EEs)
https://marketplace.bamboohr.com/listings/northpass/,People & Culture,Learning & Training,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Discover Apps>Preferred Integrations|Data Flow>Two-way
https://marketplace.bamboohr.com/listings/officevibe/,People & Culture,Engagement & Culture,Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/okta/,Build Your Business,Identity Management,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Discover Apps>Free Trial Available|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Data Flow>One-way|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Discover Apps>SSO Included|Staff Picks|Industry Served>Technology & Software
https://marketplace.bamboohr.com/listings/onboarding-by-roots/,Hiring & Onboarding,Onboarding,Business Size>Medium (201-500 EEs)|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/onelogin/,Build Your Business,Identity Management,Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Discover Apps>Preferred Integrations|Discover Apps>SSO Included
https://marketplace.bamboohr.com/listings/orgchart-now/,Build Your Business,Planning & Charting,Listing Type>Direct Integration|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
https://marketplace.bamboohr.com/listings/orginio/,Build Your Business,Planning & Charting,Industry Served>Construction|Industry Served>Consulting|Listing Type>Direct Integration|Industry Served>Finance|Discover Apps>Free Trial Available|Industry Served>Government & Education|Industry Served>Healthcare|Business Size>Large (500+ EEs)|Industry Served>Manufacturing|Industry Served>Marketing & Advertising|Business Size>Medium (201-500 EEs)|Industry Served>Non-Profit & Social Services|Data Flow>One-way|Industry Served>Other|Industry Served>Restaurant & Hospitality|Industry Served>Retail|Business Size>Small (26-200 EEs)|Industry Served>Technology & Software
https://marketplace.bamboohr.com/listings/papaya-global/,Compensation & Benefits,Global Payroll,Compensation & Benefits>Payroll|Build Your Business>PEO|Listing Type>Direct Integration|Discover Apps>Free Trial Available|Business Size>Large (500+ EEs)|Business Size>Medium (201-500 EEs)|Data Flow>One-way|Business Size>Small (26-200 EEs)
